label,n_samples,n_grenades,all_kpp_pass,duration_p10,duration_p50,build_up_p90,moe_lock_frac,good_thickness_frac,throw_p10_m
baseline_10M_adversarial_g3_n10000000,10000000,3,True,152.2893,156.6930,12.5833,0.550953,1.000000,20.0000
baseline_10M_g1_n10000000,10000000,1,True,169.7281,197.3656,12.5835,0.583303,1.000000,20.0000
baseline_10M_g2_n10000000,10000000,2,True,169.9858,197.6793,12.5836,0.635606,1.000000,20.0000
baseline_10M_g3_n10000000,10000000,3,True,169.9151,197.6194,12.5848,0.800547,1.000000,20.0000
baseline_10M_single_g1_duration_n10000000,10000000,1,True,169.7109,197.3899,12.5844,0.583504,1.000000,20.0000
baseline_10M_wind_calm_g3_n10000000,10000000,3,True,170.0046,197.7163,12.5837,0.984518,1.000000,20.0000
baseline_10M_wind_high_g3_n10000000,10000000,3,True,169.8429,197.4980,12.5836,0.596956,1.000000,20.0000
baseline_10M_wind_moderate_g3_n10000000,10000000,3,True,169.9488,197.6507,12.5835,0.820409,1.000000,20.0000
convergence_seed_137_g3_n2000000,2000000,3,True,169.9343,197.6377,12.5837,0.800962,1.000000,20.0000
convergence_seed_2027_g3_n2000000,2000000,3,True,169.9293,197.6063,12.5845,0.800508,1.000000,20.0000
convergence_seed_271_g3_n2000000,2000000,3,True,169.9507,197.6132,12.5850,0.800944,1.000000,20.0000
convergence_seed_4099_g3_n2000000,2000000,3,True,169.9660,197.6324,12.5826,0.800373,1.000000,20.0000
convergence_seed_42_g3_n2000000,2000000,3,True,169.9414,197.6339,12.5858,0.800960,1.000000,20.0000
convergence_seed_8191_g3_n2000000,2000000,3,True,169.9346,197.6028,12.5842,0.800365,1.000000,20.0000
convergence_seed_999_g3_n2000000,2000000,3,True,169.9494,197.6092,12.5833,0.800513,1.000000,20.0000
sweep_alpha_pessimistic_g3_n2000000,2000000,3,True,169.9308,197.6121,12.5833,0.797687,1.000000,20.0000
sweep_alpha_tight_g3_n2000000,2000000,3,True,169.9374,197.6074,12.5861,0.802656,1.000000,20.0000
sweep_alpha_wide_g3_n2000000,2000000,3,True,169.9252,197.6043,12.5830,0.799729,1.000000,20.0000
sweep_burn_hi_3.6_g3_n2000000,2000000,3,True,194.2748,216.0715,12.5851,0.797518,1.000000,20.0000
sweep_burn_hi_3.8_g3_n2000000,2000000,3,True,185.5286,209.5479,12.5830,0.798307,1.000000,20.0000
sweep_burn_hi_4.0_g3_n2000000,2000000,3,True,177.4109,203.4324,12.5840,0.799401,1.000000,20.0000
sweep_burn_hi_4.2_g3_n2000000,2000000,3,True,169.9072,197.6497,12.5870,0.800788,1.000000,20.0000
sweep_burn_hi_4.4_g3_n2000000,2000000,3,True,161.8560,187.1012,12.5849,0.802540,1.000000,20.0000
sweep_temp_cold_g3_n2000000,2000000,3,True,180.6210,207.8224,12.5831,0.801912,1.000000,20.0000
sweep_temp_hot_g3_n2000000,2000000,3,True,162.5530,186.9462,12.5836,0.797926,1.000000,20.0000
sweep_temp_nominal_g3_n2000000,2000000,3,True,169.6156,195.3442,12.5838,0.800783,1.000000,20.0000
sweep_vis_smoke_1.0_g3_n2000000,2000000,3,True,169.9089,197.6474,12.5845,0.800882,1.000000,20.0000
sweep_vis_smoke_1.1_g3_n2000000,2000000,3,True,169.9160,197.5588,12.5833,0.800377,1.000000,20.0000
sweep_vis_smoke_1.2_g3_n2000000,2000000,3,True,169.9396,197.6216,12.5843,0.800432,1.000000,20.0000
sweep_vis_smoke_1.3_g3_n2000000,2000000,3,True,169.9516,197.6530,12.5832,0.800920,1.000000,20.0000
sweep_vis_smoke_1.4_g3_n2000000,2000000,3,True,169.9438,197.6388,12.5811,0.801104,1.000000,20.0000
sweep_vis_smoke_1.5_g3_n2000000,2000000,3,True,169.9514,197.6579,12.5823,0.801005,1.000000,20.0000
sweep_vis_smoke_1.6_g3_n2000000,2000000,3,True,169.9666,197.6553,12.5842,0.800435,1.000000,20.0000
sweep_yield_lo_0.18_g3_n2000000,2000000,3,True,169.8456,197.5357,12.5846,0.793216,1.000000,20.0000
sweep_yield_lo_0.22_g3_n2000000,2000000,3,True,169.8888,197.5607,12.5843,0.795280,1.000000,20.0000
sweep_yield_lo_0.26_g3_n2000000,2000000,3,True,169.9408,197.6009,12.5852,0.799119,1.000000,20.0000
sweep_yield_lo_0.30_g3_n2000000,2000000,3,True,169.9624,197.6626,12.5828,0.803272,1.000000,20.0000
sweep_yield_lo_0.34_g3_n2000000,2000000,3,True,169.9900,197.6947,12.5842,0.806889,1.000000,20.0000
