label,n_samples,n_grenades,all_kpp_pass,duration_p10,duration_p50,build_up_p90,moe_lock_frac,good_thickness_frac
baseline_10M_g1_n25000,25000,1,True,160.1483,185.8478,12.5994,1.000000,1.000000
baseline_10M_g2_n25000,25000,2,True,159.7883,185.7394,12.5934,1.000000,1.000000
baseline_10M_g3_n25000,25000,3,True,160.0332,185.3159,12.5781,1.000000,1.000000
baseline_10M_single_g1_duration_n25000,25000,1,True,159.9005,185.4101,12.5935,1.000000,1.000000
baseline_10M_wind_calm_g3_n25000,25000,3,True,159.8719,185.1531,12.5889,1.000000,1.000000
baseline_10M_wind_moderate_g3_n25000,25000,3,True,160.2377,185.5063,12.5766,1.000000,1.000000
baseline_10M_wind_high_g3_n25000,25000,3,True,159.9947,185.5848,12.5712,1.000000,1.000000
baseline_10M_adversarial_g3_n25000,25000,3,True,143.6549,147.0911,12.5882,1.000000,1.000000
sweep_vis_smoke_1.0_g3_n25000,25000,3,True,160.0671,185.8330,12.5864,1.000000,1.000000
sweep_vis_smoke_1.1_g3_n25000,25000,3,True,160.0348,185.3054,12.5951,1.000000,1.000000
sweep_vis_smoke_1.2_g3_n25000,25000,3,True,159.9960,185.6293,12.6061,1.000000,1.000000
sweep_vis_smoke_1.3_g3_n25000,25000,3,True,159.9488,185.4623,12.5870,1.000000,1.000000
sweep_vis_smoke_1.4_g3_n25000,25000,3,True,159.9260,185.6343,12.5822,1.000000,1.000000
sweep_vis_smoke_1.5_g3_n25000,25000,3,True,159.9526,185.1059,12.5738,1.000000,1.000000
sweep_vis_smoke_1.6_g3_n25000,25000,3,True,160.0265,185.7285,12.5734,1.000000,1.000000
sweep_yield_lo_0.18_g3_n25000,25000,3,True,159.8758,185.5127,12.5742,1.000000,1.000000
sweep_yield_lo_0.22_g3_n25000,25000,3,True,159.9349,185.8558,12.5682,1.000000,1.000000
sweep_yield_lo_0.26_g3_n25000,25000,3,True,160.2021,186.3458,12.5861,1.000000,1.000000
sweep_yield_lo_0.30_g3_n25000,25000,3,True,159.9746,185.6639,12.5912,1.000000,1.000000
sweep_yield_lo_0.34_g3_n25000,25000,3,True,159.7571,186.1336,12.5838,1.000000,1.000000
sweep_burn_hi_3.6_g3_n25000,25000,3,True,182.8601,202.5236,12.5823,1.000000,1.000000
sweep_burn_hi_3.8_g3_n25000,25000,3,True,174.5645,196.9518,12.5756,1.000000,1.000000
sweep_burn_hi_4.0_g3_n25000,25000,3,True,166.6969,190.6907,12.5772,1.000000,1.000000
sweep_burn_hi_4.2_g3_n25000,25000,3,True,159.8279,185.2860,12.6090,1.000000,1.000000
sweep_burn_hi_4.4_g3_n25000,25000,3,True,152.4391,175.5118,12.5735,1.000000,1.000000
sweep_alpha_tight_g3_n25000,25000,3,True,160.3296,185.7055,12.5891,1.000000,1.000000
sweep_alpha_wide_g3_n25000,25000,3,True,159.9455,185.3506,12.5887,1.000000,1.000000
sweep_alpha_pessimistic_g3_n25000,25000,3,True,159.8463,185.1408,12.5816,1.000000,1.000000
convergence_seed_42_g3_n25000,25000,3,True,159.8958,185.4054,12.5632,1.000000,1.000000
convergence_seed_137_g3_n25000,25000,3,True,160.0811,185.5603,12.5779,1.000000,1.000000
convergence_seed_271_g3_n25000,25000,3,True,160.0331,185.7974,12.5892,1.000000,1.000000
convergence_seed_999_g3_n25000,25000,3,True,159.9517,185.5100,12.5882,1.000000,1.000000
convergence_seed_2027_g3_n25000,25000,3,True,159.8453,185.3833,12.5849,1.000000,1.000000
convergence_seed_4099_g3_n25000,25000,3,True,159.8001,185.4612,12.5895,1.000000,1.000000
convergence_seed_8191_g3_n25000,25000,3,True,160.1192,185.4007,12.5797,1.000000,1.000000
sweep_temp_cold_g3_n25000,25000,3,True,169.9709,195.1577,12.5768,1.000000,1.000000
sweep_temp_nominal_g3_n25000,25000,3,True,159.7181,183.8830,12.5966,1.000000,1.000000
sweep_temp_hot_g3_n25000,25000,3,True,152.9894,175.4829,12.5838,1.000000,1.000000
